product_id,date,price
846726,2005-11-23,157.6
846726,2005-11-24,158.5
846726,2005-11-25,159.1
846726,2005-11-30,158.7
846726,2005-12-01,158.7
846726,2005-12-02,158.9
846726,2005-12-06,159.2
846726,2005-12-07,159.2
846726,2005-12-08,159.5
846726,2005-12-16,159.2
846726,2005-12-19,159.2
846726,2005-12-21,159.2
846726,2005-12-22,159.4
846726,2005-12-23,159.6
846726,2005-12-30,161.0
846726,2006-01-02,160.5
846726,2006-01-03,160.8
846726,2006-01-04,161.6
846726,2006-01-05,161.8
846726,2006-01-06,161.5
846726,2006-01-10,161.9
846726,2006-01-11,161.6
846726,2006-01-13,161.6
846726,2006-01-18,162.2
846726,2006-01-19,161.2
846726,2006-01-23,160.4
846726,2006-01-25,159.8
846726,2006-01-26,159.7
846726,2006-01-27,158.8
846726,2006-01-30,158.9
846726,2006-01-31,159.2
846726,2006-02-01,158.9
846726,2006-02-06,158.0
846726,2006-02-07,159.3
846726,2006-02-08,158.7
846726,2006-02-10,159.5
846726,2006-02-16,158.6
846726,2006-02-17,158.4
846726,2006-02-21,159.4
846726,2006-02-22,159.3
846726,2006-02-23,159.0
846726,2006-02-24,158.5
846726,2006-02-27,159.0
846726,2006-03-03,158.6
846726,2006-03-06,158.5
846726,2006-03-07,158.3
846726,2006-03-08,158.0
846726,2006-03-10,156.4
846726,2006-03-14,156.2
846726,2006-03-15,157.1
846726,2006-03-16,157.0
846726,2006-03-20,157.0
846726,2006-03-24,157.9
846726,2006-03-28,157.2
846726,2006-03-30,156.1
846726,2006-04-05,154.4
846726,2006-04-06,154.2
846726,2006-04-10,152.8
846726,2006-04-11,154.2
846726,2006-04-12,154.6
846726,2006-04-18,153.9
846726,2006-04-19,154.5
846726,2006-04-20,153.4
846726,2006-04-21,153.8
846726,2006-04-24,154.1
846726,2006-04-25,154.0
846726,2006-04-26,153.6
846726,2006-04-27,153.2
846726,2006-04-28,154.1
846726,2006-05-05,154.0
846726,2006-05-08,154.6
846726,2006-05-09,153.3
846726,2006-05-19,154.7
846726,2006-05-23,154.9
846726,2006-05-26,154.2
846726,2006-06-02,154.9
846726,2006-06-06,154.0
846726,2006-06-08,154.1
846726,2006-06-13,155.3
846726,2006-06-15,155.4
846726,2006-06-16,155.5
846726,2006-06-22,154.4
846726,2006-06-26,153.7
846726,2006-07-03,155.0
846726,2006-07-04,155.1
846726,2006-07-05,154.9
846726,2006-07-14,155.63
846726,2006-07-19,154.91
846726,2006-07-20,155.42
846726,2006-07-21,155.74
846726,2006-07-25,155.2
846726,2006-07-26,155.3
846726,2006-07-28,155.96
846726,2006-08-01,155.62
846726,2006-08-02,155.51
846726,2006-08-04,155.87
846726,2006-08-07,156.97
846726,2006-08-08,156.96
846726,2006-08-11,156.69
846726,2006-08-14,155.79
846726,2006-08-21,157.48
846726,2006-08-22,158.24
846726,2006-08-23,158.1
846726,2006-08-24,158.06
846726,2006-08-25,158.42
846726,2006-08-28,158.32
846726,2006-08-29,158.32
846726,2006-08-30,158.69
846726,2006-09-05,158.38
846726,2006-09-07,157.34
846726,2006-09-08,158.54
846726,2006-09-11,158.57
846726,2006-09-12,157.35
846726,2006-09-13,158.61
846726,2006-09-14,157.43
846726,2006-09-19,158.8
846726,2006-09-20,158.52
846726,2006-09-25,158.6
846726,2006-09-26,159.1
846726,2006-09-27,159.13
846726,2006-09-28,159.36
846726,2006-09-29,159.31
846726,2006-10-02,160.07
846726,2006-10-06,159.57
